name,beers_count,brewery_id,latitude,longitude
Brasserie de l'Abbaye de Scourmont (Trappistes),2.0,173,49.98419952392578,4.3111000061035165
Brasserie De L'Abbaye Des Rocs,10.0,174,50.37049865722656,3.7263000011444087
Brasserie de l'Abbaye Val-Dieu,5.0,175,50.7046012878418,5.822000026702881
Brasserie de la Senne,4.0,176,50.7853012084961,4.243700027465819
Brasserie De Saint Sylvestre,2.0,177,50.79750061035156,2.541199922561645
Brasserie De Silenrieux,2.0,178,50.22480010986328,4.410200119018555
Brasserie de Silly,6.0,179,50.64929962158203,3.9242000579833984
Brasserie de Tahiti,1.0,180,-17.67970085144043,-149.40699768066406
Brasserie de Vervifontaine,1.0,181,,
Brasserie des Cimes,1.0,182,45.70750045776367,5.915299892425537
Brasserie des Franches-Montagnes,1.0,183,47.25429916381836,7.0026001930236825
Brasserie des Gants,2.0,184,50.620399475097656,3.759200096130371
Brasserie des Vosges,1.0,185,48.00279998779297,6.658299922943115
Brasserie du Benin,1.0,186,32.39059829711914,-93.3739013671875
Brasserie du Bocq,3.0,187,50.3114013671875,4.94350004196167
Brasserie Dubuisson,4.0,188,50.57789993286133,3.5553998947143555
Brasserie Dupont,6.0,189,50.5718002319336,3.650799989700317
Brasserie Duyck,3.0,190,50.30889892578125,3.6284999847412114
Brasserie Ellezelloise,4.0,191,50.74280166625977,3.6875
Brasserie Fantme,4.0,192,50.2859992980957,5.512700080871582
Brasserie Grain D'Orge,1.0,193,50.60540008544922,3.077500104904175
Brasserie La Binchoise,3.0,194,50.40800094604492,4.165900230407715
Brasserie La Caracole,4.0,195,50.20240020751953,4.89139986038208
Brasserie La Choulette,3.0,196,50.26010131835938,3.3125
Brasserie Lefebvre,3.0,197,50.674598693847656,4.150899887084962
Brasserie McAuslan,4.0,198,45.46820068359375,-73.59130096435547
Brasserie Pietra,1.0,199,42.64830017089844,9.452899932861328
Brasserie Thiriez,1.0,200,50.88510131835938,2.4328999519348145
Brasserie Val de Sambre,,201,50.36819839477539,4.326600074768066
